id,name,email,school,class,total_score,address,phone_no
1,"Jayne Osinski MD",mitchell.demetris@yahoo.com,"Ocie Baumbach","Dr. Lukas Ernser Jr.",77,"Omnis aliquid debitis est.",4032341022
2,"Ms. Kiarra Wilkinson III",lmoore@bosco.org,"Otto Lind III","Mrs. Camylle Kuhlman Sr.",94,"Corporis illum est optio.",7507868559
3,"Narciso Carter",eladio67@gmail.com,"Jarrell Lowe","Vada Prosacco",83,"Pariatur necessitatibus error necessitatibus reiciendis est.",3602429479
4,"Raheem Klein",zwillms@dach.com,"Dax Grimes","Macey Glover",44,"Repellendus ullam itaque.",5369598695
5,"Josiah Prosacco",beth22@yahoo.com,"Mabelle Tromp I","Natalia Boyer",79,"Saepe ea et sapiente quos.",2480375816
6,"Mike Bruen",yhayes@kuhn.com,"Dr. Eloisa Heller","Eric Beer",33,"Aperiam soluta dolorem pariatur veniam.",6120181440
7,"Morgan Labadie",amya31@oberbrunner.com,"Colten Roberts","Maci Roberts MD",76,"Facere nostrum veniam quis repellat tenetur.",5733342594
8,"Prof. Julianne Beatty",dorcas.fay@gmail.com,"Camila Emard","Cesar Barton",8,"Ipsum ipsum amet magnam rerum veniam.",7618164529
9,"Alvena Rosenbaum",deion25@hotmail.com,"Kira Torphy","Rollin McClure",12,"Vero vitae et.",8578079747
10,"Reinhold Johns III",wolf.barney@oconner.com,"Arnold Heidenreich","Kira Anderson",61,"Odio voluptate delectus ad.",4305005584
11,"Christy Bartell",linwood.brekke@zboncak.info,"Wendell Adams","Dr. Faye Jaskolski II",69,"Assumenda et voluptas quo est rerum.",4590791211
12,"Prof. Raymond Thiel",sfisher@gmail.com,"Laverne Beatty","Davion Hermiston MD",27,"Totam rerum quos.",9619606405
13,"Prof. Orlando Welch",darrell.adams@bartell.org,"Miss Burdette Botsford","Betty Moen",32,"Iure dolorem molestias error assumenda.",8847516103
14,"Mr. Adalberto Wyman DDS",groob@hotmail.com,"Miller Ondricka","Connie Schuppe",55,"Optio sit sit porro consequatur.",3242078826
15,"Ubaldo Kuhic",dell78@hotmail.com,"Mr. Alek Ledner PhD","Shyann Gorczany",97,"Voluptates ut sit asperiores.",6330869650
